,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Year,"ISO Code",Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights","Sound Money","Freedom to trade internationally",Regulation
,2019,MDG,Madagascar,6.18,123,3,7.70,2.79,7.82,6.87,5.70
,2019,MEX,Mexico,7.15,66,2,8.25,4.44,8.17,8.16,6.72
,2019,MKD,"North Macedonia",7.13,68,2,7.08,4.72,8.30,7.69,7.83
,2019,MLI,Mali,5.88,135,4,6.40,3.35,7.25,6.38,6.02
,2019,MLT,Malta,8.02,19,1,6.94,6.67,9.56,8.92,8.03
,2019,MMR,Myanmar,5.60,145,4,7.34,3.48,6.59,5.44,5.13
,2019,MNE,Montenegro,7.51,47,2,6.41,5.25,9.61,8.32,7.95
,2019,MNG,Mongolia,7.28,61,2,7.31,5.98,8.80,6.98,7.35
,2019,MOZ,Mozambique,6.40,108,3,6.67,4.54,7.95,7.08,5.75
,2019,MRT,Mauritania,6.28,115,3,7.16,3.20,7.98,6.87,6.19
,2019,MUS,Mauritius,8.15,12,1,7.91,7.00,9.61,8.76,7.48
,2019,MWI,Malawi,5.60,145,4,6.32,4.39,6.84,4.81,5.64
,2019,MYS,Malaysia,7.40,53,2,7.04,5.77,8.40,7.90,7.86
,2019,NAM,Namibia,6.26,116,3,6.96,5.66,6.67,6.18,5.84
,2019,NER,Niger,5.83,138,4,6.64,3.68,7.14,5.75,5.93
,2019,NGA,Nigeria,6.73,88,3,8.71,3.43,8.70,6.03,6.77
,2019,NIC,Nicaragua,6.76,87,3,6.29,3.80,9.57,8.03,6.10
,2019,NLD,Netherlands,8.00,20,1,5.10,8.58,9.31,9.11,7.92
,2019,NOR,Norway,7.86,27,1,5.06,8.93,9.32,8.23,7.73
,2019,NPL,Nepal,6.56,100,3,8.10,4.79,6.74,6.31,6.84
,2019,NZL,"New Zealand",8.72,3,1,6.70,9.10,9.67,8.96,9.15
,2019,OMN,Oman,6.59,98,3,4.72,5.14,8.60,7.45,7.05
,2019,PAK,Pakistan,6.00,130,4,8.40,3.46,6.70,5.95,5.50
,2019,PAN,Panama,7.75,34,1,7.80,5.75,9.48,8.88,6.84
,2019,PER,Peru,7.81,30,1,7.73,5.50,9.76,8.83,7.24
,2019,PHL,Philippines,7.20,65,2,8.16,4.44,9.42,7.19,6.77
,2019,PNG,"Papua New Guinea",6.10,128,4,6.05,4.28,6.55,7.33,6.30
,2019,POL,Poland,7.29,60,2,6.14,6.40,8.40,8.28,7.21
,2019,PRT,Portugal,7.81,30,1,6.28,7.39,9.41,8.82,7.16
,2019,PRY,Paraguay,7.14,67,2,8.13,4.20,9.44,7.36,6.55
,2019,QAT,Qatar,6.93,82,2,5.94,5.31,8.44,8.32,6.64
,2019,ROU,Romania,7.79,33,1,7.20,6.56,9.33,8.71,7.15
,2019,RUS,"Russian Federation",6.64,94,3,6.09,5.02,9.39,6.69,6.03
,2019,RWA,Rwanda,7.03,78,2,5.08,5.84,9.45,7.60,7.15
,2019,SAU,"Saudi Arabia",6.71,90,3,4.89,6.03,8.69,7.50,6.44
,2019,SDN,Sudan,3.46,164,4,6.66,2.10,1.94,2.68,3.94
,2019,SEN,Senegal,6.31,113,3,7.19,4.13,7.17,7.05,6.01
,2019,SGP,Singapore,8.80,2,1,7.54,8.37,9.77,9.56,8.77
,2019,SLE,"Sierra Leone",6.06,129,4,7.71,4.38,7.04,6.62,4.55
,2019,SLV,"El Salvador",7.34,56,2,8.47,4.27,9.67,8.01,6.26
,2019,SOM,Somalia,5.63,144,4,7.99,1.85,7.07,6.69,4.54
,2019,SRB,Serbia,7.11,70,2,6.66,5.39,8.35,8.07,7.09
,2019,SUR,Suriname,6.22,121,3,6.17,4.14,7.75,6.60,6.46
,2019,SVK,"Slovak Republic",7.67,38,1,6.31,6.66,9.32,8.64,7.42
,2019,SVN,Slovenia,7.47,50,2,5.45,6.88,9.57,8.35,7.09
,2019,SWE,Sweden,7.81,30,1,4.67,8.36,9.67,8.61,7.75
,2019,SWZ,Eswatini,5.52,147,4,5.75,3.10,7.74,5.53,5.46
,2019,SYC,Seychelles,7.49,49,2,6.41,6.01,9.17,8.35,7.53
,2019,SYR,"Syrian Arab Republic",5.13,156,4,6.51,2.23,8.00,5.10,3.80
,2019,TCD,Chad,5.49,148,4,8.60,2.53,6.76,5.25,4.32
,2019,TGO,Togo,6.32,112,3,7.43,4.81,7.20,6.21,5.92
,2019,THA,Thailand,6.99,79,2,7.13,5.13,8.57,7.35,6.78
,2019,TJK,Tajikistan,6.40,108,3,5.74,4.06,9.14,6.84,6.21
,2019,TLS,Timor-Leste,6.11,127,4,4.50,4.02,8.63,7.82,5.56
,2019,TTO,"Trinidad and Tobago",7.07,74,2,6.91,4.95,9.25,7.84,6.39
,2019,TUN,Tunisia,5.81,139,4,5.18,4.92,6.68,6.48,5.82
,2019,TUR,Türkiye,6.51,102,3,6.53,4.81,8.20,7.44,5.58
,2019,TWN,Taiwan,8.14,13,1,7.72,7.24,9.70,8.13,7.88
,2019,TZA,Tanzania,6.39,110,3,6.11,5.00,8.37,6.01,6.50
,2019,UGA,Uganda,7.06,76,2,7.54,4.18,9.46,7.20,6.91
,2019,UKR,Ukraine,6.24,118,3,6.95,4.54,6.69,7.14,5.86
,2019,URY,Uruguay,7.31,58,2,6.52,5.83,9.23,8.07,6.89
,2019,USA,"United States",8.35,5,1,7.31,7.90,9.72,8.13,8.72
,2019,VEN,"Venezuela, RB",2.47,165,4,4.34,2.14,0.94,2.87,2.05
,2019,VNM,Vietnam,6.15,125,4,6.53,4.81,6.86,6.44,6.10
,2019,YEM,"Yemen, Rep.",5.04,158,4,8.27,2.36,6.90,4.59,3.10
,2019,ZAF,"South Africa",6.69,92,3,6.11,5.65,8.22,6.93,6.56
,2019,ZMB,Zambia,6.39,110,3,6.58,4.73,9.11,6.74,4.82
,2019,ZWE,Zimbabwe,5.09,157,4,6.37,3.39,5.55,5.38,4.75
